Gene1,Gene2,PartialCor,Condition
ABCF2,ANKRD30B,-0.12068,IFN-gamma
ABCF2,C12orf43,0.18311,IFN-gamma
ABCF2,CCNB1IP1,0.12217,IFN-gamma
ABCF2,ISG20L2,0.11852,IFN-gamma
ABCF2,LOC729603,0.15809,IFN-gamma
ABCF2,POLR3A,0.27572,IFN-gamma
ABCF2,RINL,0.08061,IFN-gamma
ABCF2,RSU1,0.17912,IFN-gamma
ACBD5,AFMID,-0.15009,IFN-gamma
ACBD5,AIRE,0.0358,IFN-gamma
ACBD5,AKR1D1,0.16503,IFN-gamma
ACBD5,ANKRD30B,0.06368,IFN-gamma
ACBD5,C21orf55,0.12559,IFN-gamma
ACBD5,CD68,-0.09565,IFN-gamma
ACBD5,CDKN2AIPNL,-0.15667,IFN-gamma
ACBD5,CHST12,-0.05795,IFN-gamma
ACBD5,COX16,0.09993,IFN-gamma
ACBD5,COX6A1,-0.05451,IFN-gamma
ACBD5,DCLRE1C,-0.06462,IFN-gamma
ACBD5,DSN1,-0.08223,IFN-gamma
ACBD5,FAM115A,-0.09417,IFN-gamma
ACBD5,FKBP1P1,0.06757,IFN-gamma
ACBD5,HSD17B7,-0.0508,IFN-gamma
ACBD5,IMPACT,0.1876,IFN-gamma
ACBD5,LOC100134229,0.16974,IFN-gamma
ACBD5,LOC100190938,-0.07165,IFN-gamma
ACBD5,LOC729603,-0.13811,IFN-gamma
ACBD5,LRAP,-0.04956,IFN-gamma
ACBD5,MRP63,-0.03612,IFN-gamma
ACBD5,NDUFC2,0.29923,IFN-gamma
ACBD5,POFUT1,-0.19574,IFN-gamma
ACBD5,PPFIBP1,0.10717,IFN-gamma
ACBD5,RRP7B,-0.06971,IFN-gamma
ACBD5,SLC30A6,0.19277,IFN-gamma
ACBD5,SNX15,0.14609,IFN-gamma
ACBD5,TNFRSF10B,0.1413,IFN-gamma
ACBD5,TRIM16L,0.20638,IFN-gamma
ACBD5,TRIM34,0.09153,IFN-gamma
ACBD5,ZNF765,0.11905,IFN-gamma
ADAMTS4,AFMID,-2e-05,IFN-gamma
ADAMTS4,BIRC3,-0.0595,IFN-gamma
ADAMTS4,C1orf151,0.16714,IFN-gamma
ADAMTS4,COX16,0.14372,IFN-gamma
ADAMTS4,CREB1,0.02905,IFN-gamma
ADAMTS4,FDXACB1,0.25419,IFN-gamma
ADAMTS4,LOC641522,0.23454,IFN-gamma
ADAMTS4,MCF2L2,0.07137,IFN-gamma
ADAMTS4,PPFIBP1,0.33869,IFN-gamma
ADAMTS4,TBCCD1,0.29817,IFN-gamma
ADAMTS4,ZC3HAV1L,0.19176,IFN-gamma
ADAMTS4,ZNF765,0.2782,IFN-gamma
AFMID,AMFR,-0.06363,IFN-gamma
AFMID,ANKRD30B,0.0357,IFN-gamma
AFMID,BMS1P5,-0.05082,IFN-gamma
AFMID,C19orf31,0.0041,IFN-gamma
AFMID,C5orf28,0.06738,IFN-gamma
AFMID,CAPS2,0.01851,IFN-gamma
AFMID,CPPED1,0.09353,IFN-gamma
AFMID,GIMAP1,0.03628,IFN-gamma
AFMID,HCG2P7,-0.07299,IFN-gamma
AFMID,KCNH6,-0.12684,IFN-gamma
AFMID,LOC100128288,-0.06692,IFN-gamma
AFMID,LOC441087,-0.06404,IFN-gamma
AFMID,LYZ,0.49374,IFN-gamma
AFMID,NDUFV3,0.25641,IFN-gamma
AFMID,PPID,0.0955,IFN-gamma
AFMID,RAG1AP1,-0.13894,IFN-gamma
AFMID,SNHG10,0.08106,IFN-gamma
