,Gene,Degree
1,ACBD5,33
2,AIRE,25
3,AFMID,24
4,LGALS3,23
5,SLC3A2,20
6,PHF1,20
7,YEATS4,18
8,PTPLAD2,18
9,GIMAP1,18
10,COPZ1,18
11,TNK2,17
12,STK24,17
13,SORL1,17
14,SNX17,17
15,RELB,17
16,CYP27A1,17
17,NLRP3,16
18,NBPF8,16
19,KIAA0101,16
20,EPSTI1,16
21,COX6A1,16
22,B3GNT5,16
23,SMC4,15
24,PRPF8,15
25,MAFF,15
26,LOC728457,15
27,IMPDH1,15
28,GSDM1,15
29,BATF3,15
30,TNFSF15,14
31,STAG3L3,14
32,SGK3,14
33,NFIL3,14
34,HNRPR,14
35,FLJ38717,14
36,BIRC3,14
37,AFTPH,14
38,ADAMTS4,14
39,ZNF845,13
40,VHL,13
41,TPM4,13
42,TLK1,13
43,SLC4A5,13
44,PION,13
45,ISG20L2,13
46,IER3,13
47,HSBP1,13
48,GLTSCR1,13
49,DDX19A,13
50,CPPED1,13
51,COX19,13
52,CEACAM1,13
53,C21orf55,13
54,C19orf31,13
55,C12orf43,13
56,AGTRAP,13
57,ZNF777,12
58,ZNF430,12
59,TNFSF14,12
60,TBC1D15,12
61,SLC35E3,12
62,SLAMF7,12
63,NUP107,12
64,LOC644642,12
65,KLHL8,12
66,IL32,12
67,CHST12,12
68,CD72,12
69,CCNB1IP1,12
70,CCL20,12
71,C4orf34,12
72,C3orf34,12
73,BTBD2,12
74,BFAR,12
75,ANAPC5,12
76,ZYX,11
77,ZNF682,11
78,ZNF131,11
79,USP49,11
80,TMBIM4,11
81,SMCR5,11
82,SEMA3E,11
83,PLEKHB2,11
84,PCDHB9,11
85,NOD1,11
86,LYZ,11
87,LYRM7,11
88,LOC729439,11
89,LOC653086,11
90,LOC100132727,11
91,KLHL28,11
92,IL12RB1,11
93,HSPC268,11
94,HIST1H2BD,11
95,HCG2P7,11
96,GLIPR1,11
97,CREB1,11
98,CD68,11
99,ZNF786,10
100,VPS41,10
101,UBE2E2,10
102,TTC21B,10
103,TP53BP2,10
104,TMEM17,10
105,SPTLC1,10
106,SC4MOL,10
107,QRFPR,10
108,PHRF1,10
109,PHAX,10
110,PCYOX1,10
111,OCIAD1,10
112,MCM8,10
113,MCF2L2,10
114,LOC401357,10
115,LOC284821,10
116,JARID2,10
117,ICA1,10
118,GABPB2,10
119,FDXACB1,10
120,FAM153B,10
121,CHRNA5,10
122,CDAN1,10
123,BLZF1,10
124,AMFR,10
125,AKR1D1,10
126,ABCF2,10
127,ZNF738,9
128,ZNF69,9
129,ZNF266,9
130,WNT5A,9
131,TMEM106A,9
132,TBC1D9,9
133,SSSCA1,9
134,SNX15,9
135,SNRNP48,9
136,SNORD3D,9
137,SLAMF6,9
138,RPL7L1,9
139,RN7SL1,9
140,PRIM2,9
141,PPA2,9
142,POLR3A,9
143,PNPT1,9
144,LOC729603,9
145,LOC728105,9
146,LOC644852,9
147,LOC642947,9
148,LOC641522,9
149,LOC440157,9
150,LOC100132585,9
151,LOC100130835,9
152,LOC100130229,9
153,LIN52,9
154,KILLIN,9
155,ITIH5,9
156,IL18,9
157,IL10,9
158,ICMT,9
159,HNRNPU,9
160,H6PD,9
161,GALNT6,9
162,FLJ40453,9
163,FKBP1P1,9
164,FKBP14,9
165,FARSLB,9
166,DOPEY2,9
167,CCR6,9
168,CCBE1,9
169,CAPS2,9
170,ARSG,9
171,ANKRD30B,9
172,ZNF483,8
173,ZNF394,8
174,ZC3HAV1L,8
175,TRIM56,8
176,TMEM159,8
177,TIPRL,8
178,RUNDC2B,8
179,RAG1AP1,8
180,NT5DC3,8
181,NDUFV3,8
182,NCAPD2,8
183,MSH3,8
184,MBOAT2,8
185,LRRFIP1,8
186,LOC90586,8
187,LOC731789,8
188,LOC730313,8
189,LOC728903,8
190,LOC728054,8
191,LOC646996,8
192,LOC202781,8
193,LOC100132540,8
194,LMOD3,8
195,LGMN,8
196,LEMD3,8
197,KIAA1751,8
198,KCNMB4,8
199,GTF2IRD2B,8
200,FUT6,8
201,FLJ44124,8
202,FCGR3A,8
203,FCAR,8
204,FAM40B,8
205,FAM177A1,8
206,DENND4C,8
207,CRTC3,8
208,CRCP,8
209,CDK5RAP2,8
210,C9orf80,8
211,C6orf61,8
212,C19orf12,8
213,BCAS4,8
214,ZNF763,7
215,ZNF701,7
216,XRCC2,7
217,TRIM34,7
218,TRIM16L,7
219,TBCCD1,7
220,SPC24,7
221,SNHG10,7
222,SLC30A6,7
223,RRP7B,7
224,RHBDL2,7
225,RASSF6,7
226,PPIL3,7
227,PPID,7
228,PLA2G2D,7
229,PGA3,7
230,PDE4C,7
231,OSCAR,7
232,MINK1,7
233,MFSD11,7
234,MBD4,7
235,LOC727773,7
236,LOC643882,7
237,LOC100134868,7
238,LOC100129211,7
239,LOC100128098,7
240,LILRB3,7
241,IFT88,7
242,HSD17B7,7
243,HIATL2,7
244,GNB4,7
245,GGA1,7
246,GDPD1,7
247,GCLM,7
248,FAM63A,7
249,FAM115A,7
250,EVI5L,7
251,DUXAP3,7
252,DUSP19,7
253,DLEU2,7
254,DCLRE1C,7
255,DAPP1,7
256,C6orf170,7
257,C5orf28,7
258,C1orf210,7
259,C15orf63,7
260,C11orf63,7
261,BMS1P5,7
262,ALPP,7
263,ZNF765,6
264,ZNF669,6
265,ZNF652,6
266,ZNF557,6
267,ZNF14,6
268,YRDC,6
269,WDR74,6
270,UTP20,6
271,TPM3,6
272,TNFRSF10B,6
273,SPINT3,6
274,SPINK1,6
275,SNORD114-7,6
276,SMAP1,6
277,RINL,6
278,RAB3IP,6
279,RAB27A,6
280,PPM1K,6
281,PPFIBP1,6
282,PODXL,6
283,PIP5K2B,6
284,PDCD7,6
285,NDUFC2,6
286,MTMR12,6
287,MRP63,6
288,MGC16703,6
289,MGC12760,6
290,LRAP,6
291,LOC644019,6
292,LOC255167,6
293,LOC100132620,6
294,LOC100132391,6
295,LOC100130053,6
296,LOC100129269,6
297,LOC100128460,6
298,LOC100128288,6
299,LEF1,6
300,KCNH6,6
301,IMPACT,6
302,GSTTP2,6
303,GJC1,6
304,FOXD4L4,6
305,FLJ46309,6
306,FKTN,6
307,FCF1,6
308,FAM73A,6
309,FAM175A,6
310,ENHO,6
311,EID2B,6
312,DEM1,6
313,COX16,6
314,CDKN2AIPNL,6
315,CD84,6
316,CCDC125,6
317,CATSPER2,6
318,C8orf45,6
319,C1QA,6
320,BCYRN1,6
321,APOBEC3D,6
322,ZMAT3,5
323,THRA,5
324,TDRD1,5
325,TAF11,5
326,SNORD3C,5
327,RSU1,5
328,PRO1853,5
329,POFUT1,5
330,PLIN5,5
331,PACRGL,5
332,MT1G,5
333,MEFV,5
334,MBTD1,5
335,LOC646897,5
336,LOC645895,5
337,LOC643509,5
338,LOC441087,5
339,LOC399900,5
340,LOC123688,5
341,LOC100190938,5
342,LOC100131850,5
343,LOC100130276,5
344,LOC100128126,5
345,ITK,5
346,GSR,5
347,FAM119A,5
348,DDX51,5
349,CBR3,5
350,ZNF43,4
351,ZHX2,4
352,WDR48,4
353,TAF13,4
354,SULT1A1,4
355,SNORD3A,4
356,PLXNA4,4
357,PIGW,4
358,MTPAP,4
359,LOC729090,4
360,LOC100131452,4
361,FHIT,4
362,FAM102A,4
363,DSN1,4
364,CNN2,4
365,C21orf24,4
366,C1orf151,4
367,AMOTL2,4
368,TMEM128,3
369,SRGAP1,3
370,MDM1,3
371,LOC93349,3
372,LOC100134229,3
373,LOC100132870,3
374,LOC100128086,3
375,KIR2DL3,3
376,HFE,3
377,FGFBP2,3
378,COX15,3
379,SLC47A1,2
380,PHLDB3,2
381,C9orf116,2
