,Gene,Degree
1,AIRE,37
2,B3GNT5,28
3,AFMID,26
4,LGALS3,24
5,COX6A1,24
6,ACBD5,24
7,AFTPH,22
8,PRPF8,21
9,EPSTI1,21
10,IMPDH1,19
11,GIMAP1,19
12,BIRC3,19
13,TBC1D15,18
14,SORL1,18
15,SLC3A2,18
16,CYP27A1,18
17,BFAR,18
18,SNX17,17
19,PION,17
20,NOD1,17
21,NLRP3,17
22,ALPP,17
23,ZYX,16
24,SGK3,16
25,RELB,16
26,NBPF8,16
27,LOC641522,16
28,KIAA0101,16
29,HNRPR,16
30,GTF2IRD2B,16
31,AGTRAP,16
32,TPM4,15
33,TBC1D9,15
34,STAG3L3,15
35,SLAMF7,15
36,PHF1,15
37,IL10,15
38,ICA1,15
39,HSBP1,15
40,HIST1H2BD,15
41,DUSP19,15
42,CDK5RAP2,15
43,C4orf34,15
44,C12orf43,15
45,ANAPC5,15
46,ADAMTS4,15
47,YEATS4,14
48,UBE2E2,14
49,TNK2,14
50,TLK1,14
51,SLC35E3,14
52,SEMA3E,14
53,PHRF1,14
54,NCAPD2,14
55,MT1G,14
56,LYZ,14
57,LOC644642,14
58,LOC440157,14
59,GGA1,14
60,DDX19A,14
61,CCNB1IP1,14
62,AKR1D1,14
63,ZNF845,13
64,ZNF786,13
65,YRDC,13
66,VHL,13
67,USP49,13
68,TMEM159,13
69,SPC24,13
70,RRP7B,13
71,QRFPR,13
72,PTPLAD2,13
73,PLEKHB2,13
74,PCDHB9,13
75,NDUFV3,13
76,ITK,13
77,HCG2P7,13
78,GCLM,13
79,FUT6,13
80,FLJ38717,13
81,DENND4C,13
82,CRTC3,13
83,COPZ1,13
84,CHRNA5,13
85,CAPS2,13
86,BTBD2,13
87,TRIM56,12
88,TNFSF14,12
89,TMBIM4,12
90,STK24,12
91,SMC4,12
92,PRIM2,12
93,MCF2L2,12
94,MAFF,12
95,LYRM7,12
96,LRRFIP1,12
97,LOC100130835,12
98,KCNMB4,12
99,ISG20L2,12
100,ICMT,12
101,HSPC268,12
102,GSDM1,12
103,GLTSCR1,12
104,DOPEY2,12
105,CREB1,12
106,CD72,12
107,CCL20,12
