,Gene,Degree
1,AIRE,40
2,AFMID,33
3,PHRF1,24
4,LGALS3,23
5,NBPF8,20
6,AKR1D1,20
7,AFTPH,20
8,GIMAP1,19
9,STAG3L3,18
10,SLC3A2,18
11,ADAMTS4,18
12,VHL,17
13,SGK3,17
14,GSDM1,17
15,ZNF845,16
16,YEATS4,16
17,TBC1D9,16
18,KIAA0101,16
19,JARID2,16
20,GLTSCR1,16
21,PTPLAD2,15
22,LYZ,15
23,FLJ38717,15
24,COX19,15
25,ALPP,15
26,AGTRAP,15
27,ACBD5,15
28,TLK1,14
29,SORL1,14
30,RELB,14
31,PCDHB9,14
32,NLRP3,14
33,KLHL8,14
34,IMPDH1,14
35,IL12RB1,14
36,C4orf34,14
37,C12orf43,14
38,BIRC3,14
39,USP49,13
40,TNK2,13
41,PPA2,13
42,NOD1,13
43,LOC202781,13
44,HCG2P7,13
45,COX6A1,13
46,COPZ1,13
47,BFAR,13
48,ANKRD30B,13
49,ZNF786,12
50,SNX17,12
51,SNX15,12
52,SLC35E3,12
53,SEMA3E,12
54,POLR3A,12
55,PHF1,12
56,LOC728457,12
57,ISG20L2,12
58,GNB4,12
59,GLIPR1,12
60,FCAR,12
61,FAM63A,12
62,CPPED1,12
63,CHRNA5,12
64,CDAN1,12
65,CCNB1IP1,12
66,C21orf55,12
67,UBE2E2,11
68,TRIM56,11
69,TNFSF14,11
70,TIPRL,11
71,SSSCA1,11
72,SMCR5,11
73,SMC4,11
74,SLC4A5,11
75,PRPF8,11
76,LOC644852,11
77,LMOD3,11
78,KLHL28,11
79,FDXACB1,11
80,EPSTI1,11
81,DUSP19,11
82,DENND4C,11
83,DDX19A,11
84,DCLRE1C,11
85,DAPP1,11
86,CREB1,11
87,C3orf34,11
88,ZYX,10
89,VPS41,10
90,TMBIM4,10
91,SNRNP48,10
92,SMAP1,10
93,RPL7L1,10
94,QRFPR,10
95,PRIM2,10
96,PPID,10
97,PLEKHB2,10
98,PION,10
99,PHAX,10
100,OCIAD1,10
101,NUP107,10
102,NFIL3,10
103,NDUFV3,10
104,NCAPD2,10
105,MFSD11,10
106,MCM8,10
107,MCF2L2,10
108,MBD4,10
109,LOC100132585,10
110,LOC100130053,10
111,KILLIN,10
112,HSPC268,10
113,CRTC3,10
114,CHST12,10
115,C19orf31,10
116,C19orf12,10
117,BLZF1,10
118,ZNF483,9
119,ZNF430,9
120,TPM4,9
121,TNFRSF10B,9
122,SPTLC1,9
123,SNORD3D,9
124,SC4MOL,9
125,RINL,9
126,RAB27A,9
127,LYRM7,9
128,LRRFIP1,9
129,LOC731789,9
130,LOC729439,9
131,LOC653086,9
132,LOC641522,9
133,LOC100132727,9
134,LOC100130835,9
135,LOC100130229,9
136,LGMN,9
137,IL10,9
138,HSBP1,9
139,HNRNPU,9
140,GJC1,9
141,GGA1,9
142,GDPD1,9
143,FAM40B,9
144,EID2B,9
145,CRCP,9
146,CD68,9
147,CCR6,9
148,C9orf80,9
149,C1orf210,9
150,BTBD2,9
151,BCYRN1,9
152,ZNF777,8
153,ZNF652,8
154,ZNF394,8
155,TRIM16L,8
156,TP53BP2,8
157,TMEM17,8
158,TBC1D15,8
159,STK24,8
160,SNHG10,8
161,SLAMF7,8
162,RN7SL1,8
163,POFUT1,8
164,PLA2G2D,8
165,PCYOX1,8
166,OSCAR,8
167,MSH3,8
168,MAFF,8
169,LOC90586,8
170,LOC730313,8
171,LOC728903,8
172,LOC644642,8
173,LOC642947,8
174,LOC399900,8
175,LOC255167,8
176,LOC100132620,8
177,LOC100129211,8
178,LILRB3,8
179,KCNH6,8
180,ITIH5,8
181,IL18,8
182,HNRPR,8
183,HIST1H2BD,8
184,GABPB2,8
185,FLJ46309,8
186,FLJ44124,8
187,FARSLB,8
188,FAM177A1,8
189,FAM115A,8
190,DUXAP3,8
191,DOPEY2,8
192,DEM1,8
193,CCDC125,8
194,CAPS2,8
195,C6orf170,8
196,C15orf63,8
197,ARSG,8
198,AMFR,8
199,ZNF765,7
200,ZNF738,7
201,ZNF701,7
202,ZNF69,7
203,ZNF682,7
204,ZNF557,7
205,ZNF131,7
206,YRDC,7
207,XRCC2,7
208,TPM3,7
209,TNFSF15,7
210,TMEM159,7
211,RHBDL2,7
212,PPFIBP1,7
213,PNPT1,7
214,PIP5K2B,7
215,LOC646996,7
216,LOC643509,7
217,LOC100132540,7
218,LOC100132391,7
219,LOC100128288,7
220,LOC100128098,7
221,HSD17B7,7
222,HIATL2,7
223,GTF2IRD2B,7
224,FKBP14,7
225,FCF1,7
226,DDX51,7
227,CYP27A1,7
228,CDKN2AIPNL,7
229,CCBE1,7
230,C5orf28,7
231,C11orf63,7
232,B3GNT5,7
233,ZNF266,6
234,ZNF14,6
235,TRIM34,6
236,TMEM106A,6
237,TBCCD1,6
238,SLAMF6,6
239,RRP7B,6
240,RAG1AP1,6
241,PPM1K,6
242,PDE4C,6
243,PDCD7,6
244,NDUFC2,6
245,MTMR12,6
246,MGC16703,6
247,MBTD1,6
248,LRAP,6
249,LOC729603,6
250,LOC728105,6
251,LOC644019,6
252,LOC441087,6
253,LOC440157,6
254,LOC401357,6
255,LOC284821,6
256,LOC100190938,6
257,LOC100134868,6
258,LOC100130276,6
259,LOC100129269,6
260,LEF1,6
261,KIR2DL3,6
262,KIAA1751,6
263,IER3,6
264,ICMT,6
265,ICA1,6
266,GCLM,6
267,FKTN,6
268,FKBP1P1,6
269,FGFBP2,6
270,FCGR3A,6
271,FAM153B,6
272,EVI5L,6
273,C8orf45,6
274,BMS1P5,6
275,BATF3,6
276,APOBEC3D,6
277,ANAPC5,6
278,ZNF763,5
279,ZNF669,5
280,ZMAT3,5
281,TMEM128,5
282,TDRD1,5
283,TAF13,5
284,SULT1A1,5
285,SNORD3C,5
286,SNORD3A,5
287,SLC30A6,5
288,RASSF6,5
289,RAB3IP,5
290,MEFV,5
291,MBOAT2,5
292,LOC645895,5
293,LOC643882,5
294,LOC100131850,5
295,LOC100131452,5
296,LOC100128460,5
297,ITK,5
298,HFE,5
299,GALNT6,5
300,FUT6,5
301,FAM73A,5
302,FAM175A,5
303,FAM119A,5
304,ENHO,5
305,COX16,5
306,CEACAM1,5
307,CDK5RAP2,5
308,CD72,5
309,CCL20,5
310,CATSPER2,5
311,C6orf61,5
312,C21orf24,5
313,C1orf151,5
314,ZC3HAV1L,4
315,WNT5A,4
316,WDR74,4
317,WDR48,4
318,TTC21B,4
319,SPINT3,4
320,SLC47A1,4
321,RUNDC2B,4
322,PRO1853,4
323,PPIL3,4
324,PLIN5,4
325,MINK1,4
326,MGC12760,4
327,LOC729090,4
328,LOC728054,4
329,LOC123688,4
330,LOC100132870,4
331,LOC100128126,4
332,LIN52,4
333,LEMD3,4
334,IMPACT,4
335,IL32,4
336,IFT88,4
337,H6PD,4
338,GSTTP2,4
339,GSR,4
340,FLJ40453,4
341,FHIT,4
342,FAM102A,4
343,DLEU2,4
344,CD84,4
345,C1QA,4
346,AMOTL2,4
347,ABCF2,4
348,ZNF43,3
349,ZHX2,3
350,SPINK1,3
351,SPC24,3
352,SNORD114-7,3
353,RSU1,3
354,PODXL,3
355,PLXNA4,3
356,PGA3,3
357,PACRGL,3
358,MT1G,3
359,MRP63,3
360,LOC93349,3
361,LOC727773,3
362,LOC646897,3
363,LOC100134229,3
364,KCNMB4,3
365,FOXD4L4,3
366,DSN1,3
367,COX15,3
368,CNN2,3
369,BCAS4,3
370,UTP20,2
371,THRA,2
372,TAF11,2
373,SRGAP1,2
374,PIGW,2
375,PHLDB3,2
376,NT5DC3,2
377,MTPAP,2
378,MDM1,2
379,LOC100128086,2
380,CBR3,2
381,C9orf116,2
