Gene1,Gene2,PartialCor
ABCF2,APOBEC3D,-0.09814
ABCF2,BFAR,0.22041
ABCF2,C12orf43,0.14239
ABCF2,POLR3A,0.18713
ABCF2,SNX17,0.19136
ABCF2,TLK1,0.11168
ABCF2,ZHX2,-0.22164
ABCF2,ZYX,0.10827
ACBD5,AKR1D1,0.06902
ACBD5,APOBEC3D,-0.08931
ACBD5,LOC646897,-0.11469
ACBD5,LOC729090,0.06528
ACBD5,MCF2L2,0.15735
ACBD5,MRP63,-0.0556
ACBD5,NBPF8,0.08072
ACBD5,POFUT1,-0.16941
ACBD5,STK24,-0.09528
ACBD5,TBCCD1,0.20874
ACBD5,TRIM34,0.19952
ACBD5,ZMAT3,-0.04402
ACBD5,ZNF765,0.13938
ADAMTS4,AFMID,-0.05579
ADAMTS4,COX16,0.09531
ADAMTS4,FDXACB1,0.23737
ADAMTS4,KILLIN,0.2103
ADAMTS4,LOC100134229,0.09324
ADAMTS4,LOC641522,0.05215
ADAMTS4,MCF2L2,0.24208
ADAMTS4,TBCCD1,0.30522
ADAMTS4,ZC3HAV1L,0.15832
ADAMTS4,ZNF43,0.10177
ADAMTS4,ZNF765,0.18982
AFMID,AMFR,-0.08657
AFMID,ANKRD30B,0.0101
AFMID,BFAR,-0.08345
AFMID,C19orf31,0.05099
AFMID,CAPS2,0.10977
AFMID,GSDM1,0.07619
AFMID,HCG2P7,-0.04842
AFMID,KCNH6,-0.08646
AFMID,LIN52,-0.08741
AFMID,LOC727773,-0.08314
AFMID,LOC729439,0.05501
AFMID,LYZ,0.5608
AFMID,NDUFV3,0.20536
AFMID,NOD1,0.03301
AFMID,RAG1AP1,-0.07865
AFMID,SNHG10,0.13991
AFMID,SORL1,0.07793
AFMID,SSSCA1,0.05671
AFMID,TNFSF15,-0.11458
AFMID,TP53BP2,0.37998
AFMID,ZNF131,0.16434
AFMID,ZNF682,-0.06899
AFTPH,C4orf34,0.18656
AFTPH,CD84,0.10736
AFTPH,DENND4C,0.11183
AFTPH,GLTSCR1,0.14157
AFTPH,GSDM1,0.14283
AFTPH,IL12RB1,-0.08912
AFTPH,ISG20L2,0.15969
AFTPH,KCNMB4,-0.09771
AFTPH,KLHL8,0.05956
AFTPH,LOC284821,0.08314
AFTPH,LOC728105,-0.11816
AFTPH,MDM1,0.18522
AFTPH,MTMR12,0.07227
AFTPH,PHF1,0.14734
AFTPH,STAG3L3,-0.10584
AFTPH,TRIM56,0.07447
AFTPH,YEATS4,-0.05147
AFTPH,ZNF669,-0.10139
