Gene1,Gene2,PartialCor
ABCF2,CD68,0.22093
ABCF2,POLR3A,0.16643
ACBD5,ADAMTS4,0.16329
ACBD5,AKR1D1,2e-05
ACBD5,C21orf55,0.08792
ACBD5,CD68,-0.11923
ACBD5,CDKN2AIPNL,-0.07791
ACBD5,IMPACT,0.15264
ACBD5,LOC100134229,0.23533
ACBD5,MRP63,-0.10703
ACBD5,POFUT1,-0.06961
ACBD5,RUNDC2B,0.12357
ACBD5,TBCCD1,0.39045
ACBD5,TRIM34,0.11628
ACBD5,ZNF765,-2e-05
ADAMTS4,AFMID,-0.15221
ADAMTS4,ANKRD30B,0.07377
ADAMTS4,COX16,0.20013
ADAMTS4,FDXACB1,0.02792
ADAMTS4,GNB4,0.0413
ADAMTS4,LOC641522,0.2958
ADAMTS4,LRAP,-0.11159
ADAMTS4,MCF2L2,0.41448
ADAMTS4,NDUFC2,0.15361
ADAMTS4,PPFIBP1,0.10188
ADAMTS4,TBCCD1,0.21881
ADAMTS4,TRIM16L,0.17403
ADAMTS4,ZC3HAV1L,0.10885
ADAMTS4,ZNF43,0.13214
ADAMTS4,ZNF765,0.20671
AFMID,AGTRAP,0.02859
AFMID,AKR1D1,0.04031
AFMID,AMFR,-0.01273
AFMID,ANKRD30B,0.12367
AFMID,C19orf12,-0.03431
AFMID,C19orf31,0.05217
AFMID,C21orf55,0.10175
AFMID,C5orf28,0.04274
AFMID,CAPS2,-0.04673
AFMID,CDKN2AIPNL,-0.11448
AFMID,CHST12,-0.09415
AFMID,COX19,-0.11456
AFMID,DUSP19,-0.08765
AFMID,HCG2P7,-0.08249
AFMID,KCNH6,-0.06722
AFMID,LOC100128288,-0.04704
AFMID,LOC100132391,-0.05644
AFMID,LOC441087,-0.10517
AFMID,LRAP,-0.17798
AFMID,LYZ,0.42713
AFMID,MCF2L2,0.07971
AFMID,NDUFV3,0.17642
AFMID,NOD1,0.05314
AFMID,RAB27A,-0.10246
AFMID,SEMA3E,-0.09136
AFMID,SNHG10,0.08456
AFMID,TP53BP2,0.26668
AFMID,ZNF131,0.17601
AFMID,ZNF394,-0.0647
AFMID,ZNF682,-0.13463
AFTPH,AIRE,-0.05433
AFTPH,AMFR,-0.15683
AFTPH,C4orf34,0.02739
AFTPH,CCNB1IP1,-0.14473
AFTPH,GSDM1,0.05647
AFTPH,ICMT,0.1928
AFTPH,IL12RB1,-0.101
AFTPH,ISG20L2,0.0507
AFTPH,KLHL8,0.1898
AFTPH,LOC284821,0.09942
AFTPH,LOC728457,-0.18474
AFTPH,OSCAR,0.14533
AFTPH,PHRF1,0.0928
AFTPH,SLC3A2,-0.17119
AFTPH,SORL1,0.16645
AFTPH,TRIM56,0.1858
AFTPH,WDR48,0.1282
AFTPH,YEATS4,-0.13796
AGTRAP,COX6A1,0.20264
AGTRAP,HNRPR,-0.09971
AGTRAP,IMPDH1,0.12427
AGTRAP,JARID2,0.05586
AGTRAP,LYRM7,-0.13615
AGTRAP,NUP107,-0.20851
AGTRAP,PION,-0.13204
AGTRAP,RAB3IP,0.13311
AGTRAP,SLC3A2,0.09024
AGTRAP,SMAP1,0.16488
AGTRAP,TMBIM4,0.00068
AGTRAP,ZYX,0.18037
AIRE,ALPP,-0.04814
AIRE,ANAPC5,-0.08772
AIRE,BCYRN1,-0.04828
AIRE,CATSPER2,0.13791
AIRE,CCDC125,-0.04351
AIRE,CCR6,-0.16394
AIRE,CD68,0.03314
AIRE,CDAN1,0.21648
AIRE,CHRNA5,-0.09465
AIRE,DDX51,0.08828
AIRE,EID2B,0.12049
AIRE,FAM115A,-0.0735
AIRE,FAM177A1,0.04828
AIRE,FAM40B,-0.07764
AIRE,FLJ46309,0.07776
AIRE,GNB4,-0.08842
AIRE,HCG2P7,0.29309
AIRE,HIATL2,-0.17946
AIRE,HNRPR,-0.09907
AIRE,ICA1,0.11799
AIRE,IFT88,-0.02811
AIRE,ISG20L2,-0.07797
AIRE,LILRB3,0.3261
AIRE,LMOD3,-0.08467
AIRE,LOC100132727,0.07113
AIRE,LOC644642,0.09992
AIRE,LOC653086,0.25985
AIRE,MINK1,0.05828
AIRE,NOD1,-0.10196
AIRE,PHF1,-0.07025
AIRE,PNPT1,0.24305
AIRE,PRPF8,-0.10288
AIRE,RPL7L1,0.13491
AIRE,SPTLC1,0.10267
AIRE,TBC1D15,-0.06574
AIRE,VHL,-0.11261
AIRE,ZNF682,0.1041
AKR1D1,BFAR,-0.07654
AKR1D1,CDAN1,0.15847
AKR1D1,CHRNA5,-0.1346
AKR1D1,CHST12,0.04768
AKR1D1,FLJ38717,0.14895
AKR1D1,IL18,0.19629
AKR1D1,KCNH6,0.15057
AKR1D1,LGALS3,-0.15606
AKR1D1,LOC642947,0.10932
AKR1D1,LOC728457,0.03855
AKR1D1,LOC729603,0.27371
AKR1D1,PPA2,0.2039
AKR1D1,RPL7L1,0.11351
AKR1D1,SLC35E3,-0.12016
AKR1D1,TPM4,-0.10341
AKR1D1,ZNF652,0.23535
ALPP,AMFR,-0.04514
ALPP,AMOTL2,0.04859
ALPP,ANKRD30B,0.13284
ALPP,BCYRN1,0.07802
ALPP,C15orf63,0.09305
ALPP,C19orf12,-0.04806
ALPP,HSD17B7,0.2296
ALPP,LOC100132391,0.06887
ALPP,LOC255167,0.2406
ALPP,LOC646996,0.34809
ALPP,POFUT1,0.19583
ALPP,ZNF738,0.21783
AMFR,NLRP3,-2e-05
AMFR,SGK3,0.15475
AMFR,SORL1,0.1686
AMOTL2,LOC100130276,0.13847
ANAPC5,CCNB1IP1,0.24017
ANAPC5,SNX17,0.30605
ANAPC5,STAG3L3,0.23827
ANKRD30B,BLZF1,0.09847
ANKRD30B,CAPS2,0.17393
ANKRD30B,LOC100132727,0.22134
ANKRD30B,LOC653086,0.25427
ANKRD30B,NOD1,-0.07362
ANKRD30B,PNPT1,0.13103
ANKRD30B,SNORD3D,0.09472
ANKRD30B,TNFSF14,0.12569
APOBEC3D,C1QA,0.18842
APOBEC3D,CHST12,0.17523
APOBEC3D,IL12RB1,0.20458
APOBEC3D,LGALS3,-0.05156
ARSG,BCYRN1,-0.09116
ARSG,CCNB1IP1,0.17465
ARSG,LEMD3,-0.13735
ARSG,NCAPD2,0.21984
ARSG,SORL1,0.10149
ARSG,STK24,0.1983
B3GNT5,CHST12,-0.05437
B3GNT5,CPPED1,0.05534
B3GNT5,IMPDH1,-0.13784
B3GNT5,TIPRL,0.14857
B3GNT5,TLK1,0.00019
BATF3,COX6A1,0.19402
BATF3,CYP27A1,-0.004
BATF3,IL12RB1,0.30136
BATF3,RINL,0.12333
BCAS4,LOC100132540,0.10158
BCYRN1,BLZF1,0.13703
BCYRN1,COX19,0.13451
BCYRN1,LOC644852,0.19727
BCYRN1,ZNF786,0.18809
BFAR,C12orf43,0.15162
BFAR,DCLRE1C,0.10764
BFAR,HSBP1,-0.1298
BFAR,ISG20L2,0.25792
BFAR,KLHL8,0.20166
BFAR,NCAPD2,0.15169
BFAR,RINL,0.2879
BFAR,SLC3A2,-0.07447
BFAR,SMAP1,0.14157
BFAR,YEATS4,0.12167
BIRC3,BLZF1,0.08062
BIRC3,CAPS2,-0.15101
BIRC3,COPZ1,-0.09835
BIRC3,EPSTI1,0.08252
BIRC3,JARID2,0.20078
BIRC3,PHRF1,-0.10801
BIRC3,RAB3IP,-0.09984
BIRC3,RELB,0.17687
BIRC3,RHBDL2,0.14428
BIRC3,SNX15,-0.13928
BIRC3,VPS41,0.13561
BIRC3,ZNF669,0.26554
BLZF1,BMS1P5,0.13717
BLZF1,C21orf55,0.22526
BLZF1,CCDC125,0.53475
BLZF1,CREB1,-0.12257
BLZF1,ZNF14,0.25315
BMS1P5,C15orf63,0.10036
BMS1P5,C3orf34,0.34216
BMS1P5,LOC100128288,0.49814
BTBD2,CRTC3,0.12229
BTBD2,EVI5L,0.18732
BTBD2,IMPDH1,0.14246
BTBD2,PION,-0.1336
BTBD2,TNK2,0.20382
BTBD2,TRIM56,-0.1844
BTBD2,WNT5A,2e-05
C11orf63,C6orf170,0.30774
C11orf63,GDPD1,0.21599
C11orf63,LOC100128460,0.15751
C11orf63,LOC100130276,0.26717
C11orf63,TNFSF15,0.33869
C12orf43,CAPS2,-0.16451
C12orf43,CPPED1,0.17198
C12orf43,FLJ38717,-0.10069
C12orf43,LYRM7,0.15846
C12orf43,MFSD11,0.15404
C12orf43,PHF1,0.06947
C12orf43,RAG1AP1,0.08664
C12orf43,TAF13,-0.11786
C12orf43,TMBIM4,-0.20159
C12orf43,TRIM56,0.15694
C12orf43,ZNF738,0.04139
C15orf63,C1orf210,-0.11296
C15orf63,C21orf24,0.3502
C15orf63,STAG3L3,0.08052
C15orf63,TMEM17,0.60438
C19orf12,C1orf210,0.11049
C19orf12,LMOD3,0.07434
C19orf12,LOC100132540,0.68578
C19orf12,SNRNP48,0.10948
C19orf12,TTC21B,0.16506
C19orf12,ZNF266,0.12412
C19orf31,CCNB1IP1,-0.09705
C19orf31,CCR6,0.18959
C19orf31,FAM177A1,0.21653
C19orf31,GLIPR1,0.11073
C19orf31,ITIH5,0.08658
C19orf31,LOC729439,0.10171
C19orf31,PCDHB9,-0.18194
C1orf151,C1orf210,0.27887
C1orf151,COX6A1,0.08569
C1orf151,NDUFC2,0.2372
C1orf210,CDAN1,0.07799
C1orf210,COX16,0.16567
C1orf210,FDXACB1,0.1256
C1orf210,PPFIBP1,0.32271
C1QA,SLAMF7,0.23223
C21orf24,C21orf55,0.10021
C21orf24,C3orf34,0.05959
C21orf55,C5orf28,0.10853
C21orf55,C9orf80,0.10089
C21orf55,CDAN1,0.31293
C21orf55,CHRNA5,-0.02201
C21orf55,FARSLB,0.15476
C21orf55,PDE4C,0.31264
C3orf34,C8orf45,0.16986
C3orf34,CATSPER2,0.09645
C3orf34,CDAN1,-0.05355
C3orf34,CHRNA5,0.08547
C3orf34,DUSP19,0.25074
C3orf34,LRRFIP1,0.1966
C3orf34,ZMAT3,0.41848
C4orf34,C8orf45,0.09752
C4orf34,DAPP1,0.17829
C4orf34,IL12RB1,0.1034
C4orf34,KLHL8,0.20842
C4orf34,PCYOX1,0.01769
C4orf34,PHF1,-0.09348
C4orf34,PION,-0.17625
C4orf34,RINL,0.22645
C4orf34,USP49,-0.10805
